Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,2m national simplex calling,,,,
1,70CM CALL,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,70cm national simplex calling,,,,
2,2M SIMP,146.440000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,King Co ARES simplex,,,,
3,2M SIMP,144.430000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,King Co ARES simplex,,,,
4,2M SIMP,144.370000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,King Co ARES simplex,,,,
5,WX1,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
6,WX2,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
7,WX3,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
8,WX4,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
9,WX5,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
10,WX6,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
11,WX7,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio,,,,
12,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
13,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
14,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
15,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MURS blue dot: 20k,,,,
16,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MURS green dot: 20k,,,,
17,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
18,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
19,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
20,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
21,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
22,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
23,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
24,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
25,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
26,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
27,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
28,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
29,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
30,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
31,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
32,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
33,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
34,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
35,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
36,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
37,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
38,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
39,GMRS-rpt 1,462.550000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SHRG GMRS 1,,,,
40,GMRS-rpt 2,462.575000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SHRG GMRS 2,,,,
41,GMRS-rpt 4,462.625000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SHRG GMRS 4,,,,
42,GMRS-rpt 6,462.675000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,North Seattle 675,,,,
43,W7AW,145.130000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Seattle Myrtle Res,,,,
44,W7DK,145.210000,-,0.600000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma,,,,
45,WSEN,145.370000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,WA State EOC net,,,,
46,KC7Z,146.620000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Gold Mtn Bremerton,,,,
47,WA7ST,146.660000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
48,W7AW,146.680000,+,0.600000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
49,WF7W,146.700000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Buck Mtn,,,,
50,K7LED,146.820000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Mike&Key E Tiger Mtn,,,,
51,K7PF,146.880000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
52,WW7MST,146.900000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Seattle Beacon Hill,,,,
53,WW7PSR,146.960000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PSRG main Seattle,,,,
54,K7SLB,146.475000,+,1.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
55,W7DX,147.000000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,KC ARES backup,,,,
56,W7WWI,147.080000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,KC ARES primary,,,,
57,KH6VM,147.120000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Everett,,,,
58,W7MIR,147.160000,+,0.600000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Mercer Island,,,,
59,WA7LAW,147.180000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Everett,,,,
60,KF7NPL,147.260000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
61,W7DK,147.280000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma,,,,
62,K7CST,147.320000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
63,WA7COM,147.380000,+,0.600000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Marysville,,,,
64,K7SLB,147.475000,-,1.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
65,K7SLB,440.100000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
66,W7MIR,440.150000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
67,WR7HE,440.225000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
68,W7SRG,440.250000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
69,WE7SCA,440.375000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
70,W7ACS,440.600000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AllStar,,,,
71,W7DK,440.625000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma,,,,
72,KC7IGT,441.450000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
73,W7PSE,441.750000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
74,W7AW,441.800000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Seattle EchoLink,,,,
75,WE7SCA,442.000000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
