Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,2m national simplex calling,,,,
1,70CM CALL,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,70cm national simplex calling,,,,
2,TB ARES 1,146.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tahoe Basin ARES primary simplex,,,,
3,TB ARES 2,147.480000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tahoe Basin ARES secondary simplex,,,,
4,ALPINE 1,147.420000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Alpine County primary simplex,,,,
5,WX WXK58,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio Reno-Tahoe Slide Mtn,,,,
6,WX WWG20,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio Reno-Pyramid Lake,,,,
7,WX WWF59,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio Hawthorne-Mineral,,,,
8,WX WNG595,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio Mammoth-Bishop,,,,
9,162.400,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio general,,,,
10,162.425,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio general,,,,
11,162.500,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NOAA weather radio general,,,,
12,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
13,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
14,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,MURS: 11.25k,,,,
15,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MURS blue dot: 20k,,,,
16,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MURS green dot: 20k,,,,
17,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
18,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
19,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
20,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
21,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
22,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
23,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
24,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
25,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
26,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
27,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
28,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
29,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
30,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,FRS/GMRS shared simplex,,,,
31,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
32,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
33,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
34,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
35,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
36,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
37,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
38,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GMRS simplex,,,,
39,GMRS-rpt A,462.575000,+,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Sierra Tract OPEN,,,,
40,GMRS-rpt B,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Heavenly closed,,,,
41,N6ICW,145.150000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tahoe Basin linked Sac,,,,
42,KA6GWY,145.350000,+,0.855000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,EchoLink non-stand. offset,,,,
43,W6SUV,146.115000,+,0.600000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,South Tahoe ARC,,,,
44,W6SAR,146.640000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Donner Peak Truckee,,,,
45,WA6EWV,146.850000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TARA Angels Roost,,,,
46,WA6EWV,146.865000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Hawkins Peak Alpine,,,,
47,NR7A,147.240000,+,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TARA East Peak,,,,
48,ALPINE,147.330000,+,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Alpine Co primary VHF,,,,
49,W6SAR,440.700000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Donner Summit,,,,
50,K1BMW,441.750000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Truckee,,,,
51,K5BLS,442.300000,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,East Peak Fusion,,,,
52,WA6EWV,442.475000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,East Peak DMR,,,,
53,W6SUV,442.825000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Heavenly Valley,,,,
54,WA6EWV,443.700000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,linked 146.865,,,,
55,BACKEND,154.600000,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,personal channel,,,,
